Specimen properties : Specimen label,Nylon 6,
Specimen text inputs : Specimen Name,Nylon 6,
Specimen properties : Length,100,mm
Specimen properties : Thickness,3,mm
Specimen properties : Width,10,mm
Test : Rate 1,20,mm/min
,,
Time,Displacement,Force
(s),(mm),(N)
8.28,2.7604,551.468
8.3,2.7667,552.2452
8.32,2.7737,553.009
8.34,2.7806,553.8501
8.36,2.7873,554.7218
8.38,2.7943,555.5773
8.4,2.8011,556.4188
8.42,2.8077,557.252
8.44,2.8144,558.0719
8.46,2.8211,558.8809
8.48,2.8274,559.6736
8.5,2.8338,560.4083
8.52,2.8407,561.1458
8.54,2.8474,561.9377
8.56,2.8538,562.753
8.58,2.8604,563.5002
8.6,2.8671,564.2653
8.62,2.8736,565.0539
8.64,2.8803,565.8067
8.66,2.8873,566.602
8.68,2.8939,567.435
8.7,2.9005,568.2263
8.72,2.9074,568.9631
8.74,2.9141,569.7849
8.76,2.9207,570.5947
8.78,2.9275,571.3589
8.8,2.9344,572.1486
8.82,2.9409,572.9612
8.84,2.9475,573.7159
8.86,2.9543,574.4718
8.88,2.9607,575.211
8.9,2.9672,575.9096
8.92,2.9739,576.6034
8.94,2.9805,577.3358
8.96,2.987,578.0889
8.98,2.9937,578.8401
9,3.0005,579.5854
9.02,3.0071,580.3517
9.04,3.0136,581.08
9.06,3.0205,581.8001
9.08,3.0272,582.5416
9.1,3.0338,583.3312
9.12,3.0408,584.0826
9.14,3.0477,584.8526
9.16,3.0545,585.6597
9.18,3.0612,586.4241
9.2,3.0679,587.1866
9.22,3.0744,587.9156
9.24,3.0807,588.5871
9.26,3.0873,589.2403
9.28,3.0938,589.8763
9.3,3.1001,590.547
9.32,3.1067,591.2136
9.34,3.1137,591.937
9.36,3.1204,592.6934
9.38,3.1272,593.4636
9.4,3.134,594.2338
9.42,3.1405,594.9859
9.44,3.1471,595.679
9.46,3.154,596.3386
9.48,3.1607,597.0547
9.5,3.1673,597.774
9.52,3.1743,598.4906
9.54,3.1814,599.2367
9.56,3.1879,600.003
9.58,3.1941,600.7114
9.6,3.2007,601.3073
9.62,3.2071,601.9102
9.64,3.2136,602.5437
9.66,3.2203,603.1708
9.68,3.227,603.8465
9.7,3.2337,604.552
9.72,3.2404,605.2231
9.74,3.2474,605.9146
9.76,3.2541,606.6635
9.78,3.2606,607.376
9.8,3.2674,608.0234
9.82,3.2743,608.6993
9.84,3.2808,609.3916
9.86,3.2875,610.0502
9.88,3.2943,610.7017
9.9,3.3011,611.3694
9.92,3.3076,612.0341
9.94,3.3144,612.6898
9.96,3.3209,613.3766
9.98,3.3272,613.9967
10,3.3338,614.5457
10.02,3.3404,615.1376
10.04,3.3468,615.7714
10.06,3.3535,616.3904
10.08,3.3605,617.0255
10.1,3.3672,617.7338
10.12,3.3739,618.432
10.14,3.381,619.1027
10.16,3.3876,619.7955
10.18,3.394,620.4291
10.2,3.4007,621.0154
10.22,3.4074,621.6413
10.24,3.414,622.264
10.26,3.4209,622.8942
10.28,3.4279,623.5665
10.3,3.4344,624.2653
10.32,3.4406,624.8752
10.34,3.4473,625.4117
10.36,3.4538,626.0062
10.38,3.4601,626.5947
10.4,3.4668,627.1306
10.42,3.4737,627.7155
10.44,3.4804,628.3687
10.46,3.4871,628.9932
10.48,3.4943,629.6592
10.5,3.5011,630.3383
10.52,3.5074,631.0225
10.54,3.514,631.591
10.56,3.5208,632.1629
10.58,3.5274,632.735
10.6,3.5341,633.3304
10.62,3.541,633.9594
10.64,3.5475,634.6039
10.66,3.5542,635.2068
10.68,3.561,635.8098
10.7,3.5674,636.4304
10.72,3.5735,636.9816
10.74,3.5802,637.4764
10.76,3.587,638.0102
10.78,3.5935,638.5942
10.8,3.6002,639.1943
10.82,3.6072,639.8173
10.84,3.6139,640.4573
10.86,3.6206,641.0657
10.88,3.6277,641.6782
10.9,3.6345,642.3215
10.92,3.6408,642.9514
10.94,3.6476,643.5292
10.96,3.6544,644.0765
10.98,3.6608,644.6353
11,3.6674,645.1757
11.02,3.6744,645.7441
11.04,3.681,646.361
11.06,3.6873,646.9361
11.08,3.6941,647.4456
11.1,3.7005,647.9642
11.12,3.7068,648.5017
11.14,3.7136,649.0175
11.16,3.7204,649.5538
11.18,3.727,650.1494
11.2,3.7339,650.7276
11.22,3.7409,651.3224
11.24,3.7478,651.9823
11.26,3.7544,652.6121
11.28,3.7611,653.1777
11.3,3.7677,653.705
11.32,3.7741,654.2311
11.34,3.7807,654.7282
11.36,3.7876,655.2444
11.38,3.7941,655.8099
11.4,3.8006,656.3209
11.42,3.8074,656.8362
11.44,3.8139,657.3935
11.46,3.8204,657.9152
11.48,3.827,658.4175
11.5,3.8337,658.934
11.52,3.8403,659.4686
11.54,3.8471,659.994
11.56,3.8542,660.5694
11.58,3.8609,661.1851
11.6,3.8675,661.7385
11.62,3.8743,662.2682
11.64,3.8811,662.8166
11.66,3.8876,663.3693
11.68,3.8943,663.8751
11.7,3.9009,664.3755
11.72,3.9073,664.8953
11.74,3.9137,665.3671
11.76,3.9205,665.8251
11.78,3.9271,666.3352
11.8,3.9336,666.8672
11.82,3.9405,667.352
11.84,3.9471,667.8644
11.86,3.9536,668.3948
11.88,3.9603,668.9078
11.9,3.9673,669.4211
11.92,3.9739,669.9821
11.94,3.9806,670.5209
11.96,3.9876,671.0643
11.98,3.9944,671.6237
12,4.001,672.1615
12.02,4.0077,672.6669
12.04,4.0144,673.1744
12.06,4.0206,673.6505
12.08,4.0272,674.0802
12.1,4.034,674.5648
12.12,4.0405,675.0768
12.14,4.0468,675.5298
12.16,4.0537,675.9999
12.18,4.0604,676.5248
