Specimen properties : Specimen label,PMMA,
Specimen text inputs : Specimen Name,PMMA,
Specimen properties : Length,100,mm
Specimen properties : Thickness,3,mm
Specimen properties : Width,10,mm
Test : Rate 1,2,mm/min
,,
Time,Displacement,Force
(s),(mm),(N)
5.84,0.1946,137.0976
5.86,0.1951,137.5186
5.88,0.1959,137.9729
5.9,0.1964,138.423
5.92,0.1972,138.8711
5.94,0.198,139.33
5.96,0.1987,139.8407
5.98,0.1993,140.3414
6,0.1999,140.7965
6.02,0.2006,141.1945
6.04,0.2014,141.6325
6.06,0.2021,142.1616
6.08,0.2029,142.7516
6.1,0.2036,143.2904
6.12,0.2044,143.7837
6.14,0.2051,144.2817
6.16,0.2057,144.7591
6.18,0.2064,145.1795
6.2,0.207,145.5912
6.22,0.2074,145.9802
6.24,0.2081,146.361
6.26,0.2087,146.7466
6.28,0.2094,147.1664
6.3,0.21,147.5751
6.32,0.2107,147.9915
6.34,0.2113,148.4414
6.36,0.2119,148.8753
6.38,0.2126,149.2892
6.4,0.2133,149.7229
6.42,0.214,150.1802
6.44,0.2147,150.6612
6.46,0.2153,151.1513
6.48,0.216,151.6308
6.5,0.2167,152.0905
6.52,0.2175,152.5227
6.54,0.218,152.9586
6.56,0.2186,153.3811
6.58,0.2192,153.7963
6.6,0.2199,154.2322
6.62,0.2206,154.6953
6.64,0.2214,155.1268
6.66,0.2219,155.5562
6.68,0.2225,155.9978
6.7,0.2232,156.4361
6.72,0.2241,156.8794
6.74,0.2248,157.3874
6.76,0.2255,157.9397
6.78,0.2263,158.4993
6.8,0.227,159.0091
6.82,0.2277,159.5021
6.84,0.2283,159.9698
6.86,0.229,160.4218
6.88,0.2296,160.8301
6.9,0.2301,161.2027
6.92,0.2308,161.5652
6.94,0.2314,161.9461
6.96,0.2321,162.3753
6.98,0.2327,162.8152
7,0.2334,163.2664
7.02,0.234,163.6833
7.04,0.2347,164.122
7.06,0.2354,164.5664
7.08,0.236,165.0258
7.1,0.2367,165.4721
7.12,0.2373,165.9314
7.14,0.238,166.3749
7.16,0.2386,166.8226
7.18,0.2393,167.2465
7.2,0.2399,167.6633
7.22,0.2406,168.0745
7.24,0.2412,168.4812
7.26,0.2419,168.9283
7.28,0.2426,169.3865
7.3,0.2432,169.8276
7.32,0.244,170.2866
7.34,0.2446,170.77
7.36,0.2453,171.2359
7.38,0.2459,171.6942
7.4,0.2467,172.1287
7.42,0.2474,172.6008
7.44,0.2482,173.0959
7.46,0.249,173.6244
7.48,0.2496,174.1537
7.5,0.2503,174.6388
7.52,0.2509,175.0564
7.54,0.2516,175.4554
7.56,0.252,175.8849
7.58,0.2526,176.2808
7.6,0.2533,176.6518
7.62,0.2539,177.0358
7.64,0.2546,177.4553
7.66,0.2552,177.8728
7.68,0.2558,178.3076
7.7,0.2564,178.6987
7.72,0.2571,179.099
7.74,0.2578,179.5243
7.76,0.2585,180.0037
7.78,0.2594,180.5127
7.8,0.2601,181.0287
7.82,0.2607,181.5065
7.84,0.2614,181.9389
7.86,0.262,182.3708
7.88,0.2626,182.7902
7.9,0.2631,183.2094
7.92,0.2637,183.5977
7.94,0.2644,183.9724
7.96,0.2652,184.4029
7.98,0.2659,184.8687
8,0.2666,185.3692
8.02,0.2672,185.858
8.04,0.2679,186.3043
8.06,0.2686,186.7126
8.08,0.2693,187.1521
8.1,0.27,187.6523
8.12,0.2708,188.1484
8.14,0.2715,188.661
8.16,0.2722,189.1315
8.18,0.2729,189.6047
8.2,0.2737,190.1037
8.22,0.2742,190.5769
8.24,0.2748,190.9822
8.26,0.2754,191.3429
8.28,0.2761,191.7308
8.3,0.2768,192.1518
8.32,0.2775,192.64
8.34,0.2781,193.1206
8.36,0.2787,193.5406
8.38,0.2792,193.8948
8.4,0.2799,194.246
8.42,0.2805,194.6382
8.44,0.2812,195.0749
8.46,0.2819,195.5184
8.48,0.2826,195.9958
8.5,0.2833,196.4765
8.52,0.2839,196.9417
8.54,0.2846,197.3675
8.56,0.2853,197.816
8.58,0.2859,198.2589
8.6,0.2865,198.6545
8.62,0.2872,199.0461
8.64,0.2879,199.4642
8.66,0.2886,199.9331
8.68,0.2892,200.4089
8.7,0.2898,200.8372
8.72,0.2905,201.2535
8.74,0.2914,201.7018
8.76,0.2921,202.1935
8.78,0.2929,202.7225
8.8,0.2936,203.2437
8.82,0.2943,203.748
8.84,0.2949,204.2287
8.86,0.2956,204.6789
8.88,0.2963,205.0904
8.9,0.2969,205.4996
8.92,0.2974,205.906
8.94,0.2981,206.299
8.96,0.2987,206.679
8.98,0.2994,207.088
9,0.3001,207.5227
9.02,0.3007,207.96
9.04,0.3014,208.4161
9.06,0.302,208.8508
9.08,0.3027,209.2717
9.1,0.3033,209.698
9.12,0.3041,210.1221
9.14,0.3048,210.6084
9.16,0.3055,211.0777
9.18,0.3061,211.533
9.2,0.3068,211.9819
9.22,0.3074,212.4156
9.24,0.308,212.8464
9.26,0.3086,213.2218
9.28,0.3093,213.5867
9.3,0.3099,213.9706
9.32,0.3106,214.3924
9.34,0.3113,214.8583
9.36,0.3119,215.3297
9.38,0.3126,215.7349
9.4,0.3133,216.1521
9.42,0.314,216.6316
9.44,0.3149,217.1496
9.46,0.3156,217.6808
9.48,0.3163,218.1916
9.5,0.317,218.6502
9.52,0.3177,219.1247
9.54,0.3184,219.5972
9.56,0.319,220.039
9.58,0.3196,220.4737
9.6,0.32,220.8215
9.62,0.3208,221.1633
9.64,0.3213,221.5459
9.66,0.3221,221.9307
9.68,0.3228,222.3503
9.7,0.3232,222.7772
9.72,0.3238,223.1649
9.74,0.3245,223.5202
9.76,0.3252,223.9441
9.78,0.326,224.422
9.8,0.3268,224.9355
9.82,0.3275,225.4584
9.84,0.3282,225.9714
9.86,0.3288,226.426
9.88,0.3295,226.8518
9.9,0.3301,227.2934
9.92,0.3307,227.6869
9.94,0.3313,228.0635
9.96,0.332,228.453
9.98,0.3327,228.8882
10,0.3334,229.3413
10.02,0.3341,229.8257
10.04,0.3347,230.3014
10.06,0.3354,230.7303
10.08,0.3361,231.142
10.1,0.3368,231.5994
10.12,0.3375,232.0687
10.14,0.3382,232.5407
10.16,0.3389,233.0312
10.18,0.3396,233.5137
10.2,0.3404,233.9686
10.22,0.3409,234.42
10.24,0.3417,234.8481
10.26,0.3422,235.2807
10.28,0.3428,235.6488
10.3,0.3434,235.995
10.32,0.344,236.3878
10.34,0.3447,236.8223
10.36,0.3454,237.2803
10.38,0.346,237.697
10.4,0.3466,238.0946
10.42,0.3473,238.477
10.44,0.3479,238.8818
10.46,0.3486,239.3137
10.48,0.3493,239.761
10.5,0.35,240.2179
10.52,0.3506,240.6534
10.54,0.3513,241.1017
10.56,0.3519,241.5389
10.58,0.3526,241.9715
10.6,0.3532,242.39
10.62,0.3539,242.7687
10.64,0.3545,243.1709
10.66,0.3552,243.6063
10.68,0.3561,244.0643
10.7,0.3566,244.5578
10.72,0.3572,245.0526
10.74,0.3578,245.4779
10.76,0.3585,245.8587
10.78,0.3592,246.2635
10.8,0.3601,246.7398
10.82,0.3608,247.2407
10.84,0.3616,247.7611
10.86,0.3623,248.282
10.88,0.363,248.7439
10.9,0.3637,249.1842
10.92,0.3643,249.6437
10.94,0.3649,250.0628
10.96,0.3655,250.4254
10.98,0.3661,250.7734
11,0.3667,251.1192
11.02,0.3673,251.5047
11.04,0.368,251.9355
11.06,0.3685,252.3311
11.08,0.3692,252.682
11.1,0.3699,253.0758
11.12,0.3705,253.5106
11.14,0.3712,253.9712
11.16,0.3719,254.4224
11.18,0.3727,254.9007
11.2,0.3734,255.3808
11.22,0.374,255.8455
11.24,0.3747,256.302
11.26,0.3753,256.7228
11.28,0.3759,257.1332
11.3,0.3765,257.5133
11.32,0.3772,257.8808
11.34,0.3778,258.2617
11.36,0.3785,258.6929
11.38,0.3792,259.1762
11.4,0.3798,259.6374
11.42,0.3805,260.0415
11.44,0.3812,260.455
11.46,0.382,260.9329
11.48,0.3827,261.4421
11.5,0.3834,261.9574
11.52,0.3842,262.4239
11.54,0.3849,262.8845
11.56,0.3856,263.3307
11.58,0.3863,263.783
11.6,0.3869,264.2255
11.62,0.3873,264.6145
11.64,0.3879,264.9588
11.66,0.3886,265.32
11.68,0.3892,265.7104
11.7,0.3899,266.1352
11.72,0.3905,266.5695
11.74,0.3911,266.9809
11.76,0.3918,267.364
11.78,0.3925,267.7577
11.8,0.3932,268.2106
11.82,0.394,268.675
11.84,0.3947,269.1809
11.86,0.3954,269.6894
11.88,0.3961,270.1494
11.9,0.3967,270.6021
11.92,0.3974,271.0219
11.94,0.3978,271.4055
11.96,0.3986,271.7418
11.98,0.3991,272.1066
12,0.3999,272.5155
12.02,0.4006,272.9684
12.04,0.4013,273.4651
12.06,0.402,273.9537
12.08,0.4026,274.4078
12.1,0.4033,274.7969
12.12,0.404,275.1981
12.14,0.4047,275.6405
12.16,0.4055,276.1365
12.18,0.4062,276.6529
12.2,0.4069,277.1668
12.22,0.4076,277.6241
12.24,0.4082,278.079
12.26,0.4089,278.5012
12.28,0.4095,278.9073
12.3,0.41,279.256
12.32,0.4107,279.5842
12.34,0.4113,279.958
12.36,0.412,280.3622
12.38,0.4126,280.7699
12.4,0.4133,281.2021
12.42,0.4139,281.625
12.44,0.4146,282.0137
12.46,0.4153,282.4368
12.48,0.416,282.8963
12.5,0.4167,283.3402
12.52,0.4174,283.8202
12.54,0.4182,284.308
12.56,0.4189,284.7991
12.58,0.4196,285.2328
12.6,0.4202,285.664
12.62,0.4207,286.0612
12.64,0.4213,286.4327
12.66,0.422,286.8386
12.68,0.4228,287.235
12.7,0.4235,287.6611
12.72,0.4242,288.1278
12.74,0.4248,288.5934
12.76,0.4254,289.0061
12.78,0.4261,289.3849
12.8,0.4268,289.8008
12.82,0.4276,290.2681
12.84,0.4283,290.7632
12.86,0.429,291.2549
12.88,0.4296,291.715
12.9,0.4303,292.1536
12.92,0.431,292.5938
12.94,0.4316,293.0186
12.96,0.4322,293.3886
12.98,0.4327,293.7184
13,0.4334,294.0441
13.02,0.4341,294.4156
13.04,0.4348,294.8623
13.06,0.4354,295.3046
13.08,0.436,295.7466
13.1,0.4367,296.1546
13.12,0.4374,296.5448
13.14,0.438,296.9397
13.16,0.4388,297.3763
13.18,0.4395,297.8618
13.2,0.4402,298.3465
13.22,0.4408,298.7958
13.24,0.4414,299.2087
13.26,0.4421,299.6037
13.28,0.4426,300.0071
13.3,0.4432,300.3457
13.32,0.4438,300.6922
13.34,0.4445,301.0652
13.36,0.4452,301.4849
13.38,0.4459,301.9373
13.4,0.4467,302.4378
13.42,0.4473,302.9376
13.44,0.448,303.3517
13.46,0.4487,303.7492
13.48,0.4494,304.214
13.5,0.4503,304.6928
13.52,0.451,305.2054
13.54,0.4518,305.7381
13.56,0.4525,306.2228
13.58,0.4531,306.6783
13.6,0.4538,307.1036
13.62,0.4544,307.547
13.64,0.4549,307.9405
13.66,0.4553,308.2346
13.68,0.4559,308.5115
13.7,0.4566,308.8394
13.72,0.4573,309.231
13.74,0.4581,309.6582
13.76,0.4586,310.14
13.78,0.4594,310.5749
13.8,0.4601,310.982
13.82,0.4607,311.4045
13.84,0.4614,311.8475
13.86,0.4621,312.2917
13.88,0.4628,312.7315
13.9,0.4634,313.178
13.92,0.4641,313.614
13.94,0.4648,314.0495
13.96,0.4654,314.4851
13.98,0.466,314.8835
14,0.4667,315.2493
14.02,0.4673,315.6283
14.04,0.468,316.0416
14.06,0.4687,316.475
14.08,0.4693,316.8945
14.1,0.4699,317.3007
14.12,0.4706,317.7093
14.14,0.4713,318.1174
14.16,0.472,318.5831
14.18,0.4728,319.0469
14.2,0.4735,319.5339
14.22,0.4742,319.9957
14.24,0.4748,320.4606
14.26,0.4755,320.928
14.28,0.4762,321.3773
14.3,0.4768,321.8009
14.32,0.4774,322.2036
14.34,0.478,322.547
14.36,0.4786,322.9101
14.38,0.4793,323.2928
14.4,0.48,323.692
14.42,0.4807,324.1124
14.44,0.4813,324.5516
14.46,0.4819,324.9508
14.48,0.4826,325.3459
14.5,0.4833,325.7691
14.52,0.484,326.2444
14.54,0.4847,326.7166
14.56,0.4854,327.1843
14.58,0.4862,327.6447
14.6,0.4869,328.0761
14.62,0.4875,328.4822
14.64,0.488,328.8665
14.66,0.4886,329.2086
14.68,0.4892,329.5973
14.7,0.4899,329.9933
14.72,0.4906,330.3952
14.74,0.4913,330.8299
14.76,0.4919,331.2771
14.78,0.4925,331.696
14.8,0.4932,332.1141
14.82,0.4941,332.5359
14.84,0.4948,333.0122
14.86,0.4955,333.505
